VIN,Time,DCLname,vType,startLaneId,destRoad
1024,8.7600,NorthBound0Entrance,VAN,1,1st Street E
3072,835.8200,NorthBound0Entrance,SEDAN,1,1st Avenue N
3073,836.1000,NorthBound0Entrance,SUV,0,1st Avenue N
2051,414.5400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1028,11.0200,NorthBound0Entrance,SEDAN,1,1st Street E
2053,415.7600,NorthBound0Entrance,SEDAN,1,1st Street E
2054,416.4400,NorthBound0Entrance,SEDAN,2,1st Avenue N
2056,417.5200,NorthBound0Entrance,SEDAN,1,1st Street E
3082,838.8400,NorthBound0Entrance,VAN,2,1st Avenue N
2059,419.3600,NorthBound0Entrance,SEDAN,2,1st Street E
3084,839.1600,NorthBound0Entrance,COUPE,1,1st Street E
1037,14.7600,NorthBound0Entrance,COUPE,1,1st Avenue N
1042,17.0000,NorthBound0Entrance,SUV,0,1st Street W
2066,422.3800,NorthBound0Entrance,SUV,0,1st Street W
3092,841.1800,NorthBound0Entrance,SUV,1,1st Street E
1047,19.4000,NorthBound0Entrance,SEDAN,2,1st Street W
3096,842.6600,NorthBound0Entrance,COUPE,1,1st Street E
1049,20.4800,NorthBound0Entrance,SUV,0,1st Street E
2073,424.4600,NorthBound0Entrance,VAN,2,1st Avenue N
2074,424.8000,NorthBound0Entrance,SEDAN,0,1st Street W
1052,20.9200,NorthBound0Entrance,VAN,1,1st Street W
2076,425.8600,NorthBound0Entrance,SEDAN,1,1st Street E
1053,21.4600,NorthBound0Entrance,COUPE,2,1st Avenue N
2078,426.8000,NorthBound0Entrance,COUPE,0,1st Street W
3104,845.6800,NorthBound0Entrance,VAN,2,1st Street W
2081,428.8200,NorthBound0Entrance,COUPE,2,1st Street W
3105,845.9400,NorthBound0Entrance,COUPE,0,1st Street E
3106,846.1600,NorthBound0Entrance,SUV,1,1st Street E
1062,25.3600,NorthBound0Entrance,VAN,2,1st Street W
2086,430.1600,NorthBound0Entrance,COUPE,0,1st Avenue N
3112,850.6800,NorthBound0Entrance,SUV,0,1st Avenue N
1065,25.5600,NorthBound0Entrance,COUPE,1,1st Street W
2089,431.5000,NorthBound0Entrance,SUV,2,1st Avenue N
1066,26.1600,NorthBound0Entrance,COUPE,0,1st Street W
2092,432.2200,NorthBound0Entrance,VAN,1,1st Street W
1069,28.3600,NorthBound0Entrance,SEDAN,0,1st Street E
1070,28.3600,NorthBound0Entrance,SUV,2,1st Street W
2094,433.6000,NorthBound0Entrance,VAN,1,1st Street W
3119,853.4600,NorthBound0Entrance,COUPE,1,1st Avenue N
3121,853.6800,NorthBound0Entrance,COUPE,0,1st Street W
1076,31.4800,NorthBound0Entrance,VAN,0,1st Avenue N
3125,855.9400,NorthBound0Entrance,SEDAN,1,1st Street E
2102,436.6400,NorthBound0Entrance,COUPE,2,1st Avenue N
1080,33.1200,NorthBound0Entrance,COUPE,2,1st Street E
1082,33.4600,NorthBound0Entrance,SUV,0,1st Avenue N
2106,437.4600,NorthBound0Entrance,VAN,1,1st Avenue N
1083,34.1400,NorthBound0Entrance,SUV,1,1st Avenue N
1085,35.1400,NorthBound0Entrance,COUPE,0,1st Avenue N
2110,438.5000,NorthBound0Entrance,SUV,0,1st Street W
2113,440.2200,NorthBound0Entrance,COUPE,0,1st Street W
3137,861.4400,NorthBound0Entrance,SUV,2,1st Street W
1090,37.2800,NorthBound0Entrance,COUPE,1,1st Street W
1092,38.6200,NorthBound0Entrance,SUV,0,1st Street W
2116,441.9600,NorthBound0Entrance,COUPE,0,1st Avenue N
3142,863.5200,NorthBound0Entrance,SEDAN,1,1st Street E
3144,864.5800,NorthBound0Entrance,SUV,2,1st Avenue N
1098,40.4200,NorthBound0Entrance,COUPE,2,1st Avenue N
1099,40.5000,NorthBound0Entrance,SUV,1,1st Avenue N
3147,865.3200,NorthBound0Entrance,COUPE,1,1st Avenue N
2125,444.8000,NorthBound0Entrance,COUPE,0,1st Street W
3149,866.6200,NorthBound0Entrance,SUV,2,1st Avenue N
1105,43.6800,NorthBound0Entrance,VAN,2,1st Street W
3153,868.3600,NorthBound0Entrance,SEDAN,2,1st Street W
1106,44.0200,NorthBound0Entrance,SEDAN,0,1st Street E
3154,868.4800,NorthBound0Entrance,SUV,0,1st Street W
2131,446.0400,NorthBound0Entrance,SEDAN,2,1st Avenue N
3156,869.8400,NorthBound0Entrance,VAN,1,1st Street W
2134,447.3400,NorthBound0Entrance,SUV,0,1st Street E
2136,447.8200,NorthBound0Entrance,VAN,1,1st Street E
3165,874.9000,NorthBound0Entrance,COUPE,1,1st Street E
2143,452.5400,NorthBound0Entrance,VAN,1,1st Avenue N
1122,49.8400,NorthBound0Entrance,COUPE,0,1st Avenue N
1123,50.2600,NorthBound0Entrance,SEDAN,1,1st Street W
2148,453.7400,NorthBound0Entrance,COUPE,2,1st Avenue N
3172,878.3600,NorthBound0Entrance,VAN,1,1st Street W
3174,878.8800,NorthBound0Entrance,COUPE,0,1st Street E
1127,52.1000,NorthBound0Entrance,COUPE,0,1st Street E
1128,52.1200,NorthBound0Entrance,VAN,1,1st Street E
2153,455.6800,NorthBound0Entrance,SUV,2,1st Avenue N
3181,882.5400,NorthBound0Entrance,VAN,1,1st Street E
1134,55.0200,NorthBound0Entrance,SUV,0,1st Street E
2159,458.3800,NorthBound0Entrance,VAN,2,1st Street E
1137,56.4200,NorthBound0Entrance,SEDAN,2,1st Street W
3186,884.2600,NorthBound0Entrance,SUV,1,1st Street E
1139,56.6600,NorthBound0Entrance,VAN,1,1st Street W
1140,56.8400,NorthBound0Entrance,COUPE,0,1st Street W
2165,459.9600,NorthBound0Entrance,SEDAN,2,1st Avenue N
3189,886.2800,NorthBound0Entrance,COUPE,0,1st Avenue N
1142,58.1000,NorthBound0Entrance,VAN,2,1st Street W
2166,460.1800,NorthBound0Entrance,COUPE,0,1st Avenue N
3190,886.4400,NorthBound0Entrance,COUPE,2,1st Avenue N
3192,886.8600,NorthBound0Entrance,SUV,1,1st Avenue N
3195,887.8200,NorthBound0Entrance,VAN,2,1st Street W
3196,887.9800,NorthBound0Entrance,SEDAN,0,1st Street W
2175,463.5000,NorthBound0Entrance,COUPE,0,1st Street E
3199,889.2200,NorthBound0Entrance,VAN,2,1st Street W
3202,889.7400,NorthBound0Entrance,SUV,0,1st Street E
2179,466.0600,NorthBound0Entrance,SUV,2,1st Avenue N
1157,63.4200,NorthBound0Entrance,COUPE,0,1st Street W
3205,890.4000,NorthBound0Entrance,VAN,1,1st Street E
1159,63.6000,NorthBound0Entrance,VAN,1,1st Street W
1163,65.4000,NorthBound0Entrance,SUV,1,1st Street E
3211,894.2000,NorthBound0Entrance,SUV,2,1st Street W
2188,470.2000,NorthBound0Entrance,SUV,2,1st Avenue N
3215,894.8000,NorthBound0Entrance,SUV,0,1st Street W
2194,471.8800,NorthBound0Entrance,COUPE,2,1st Street E
3219,896.9600,NorthBound0Entrance,SEDAN,0,1st Avenue N
1173,70.0600,NorthBound0Entrance,VAN,2,1st Street W
3221,898.3600,NorthBound0Entrance,SUV,0,1st Street E
3222,898.3600,NorthBound0Entrance,VAN,1,1st Street E
2201,473.1000,NorthBound0Entrance,SUV,1,1st Street E
1180,71.5400,NorthBound0Entrance,SEDAN,1,1st Street E
2205,475.3000,NorthBound0Entrance,SEDAN,0,1st Street E
2209,478.2200,NorthBound0Entrance,COUPE,0,1st Avenue N
1188,74.7200,NorthBound0Entrance,SUV,0,1st Avenue N
1190,75.6800,NorthBound0Entrance,SUV,2,1st Street W
1191,75.9000,NorthBound0Entrance,VAN,1,1st Street W
2216,481.1800,NorthBound0Entrance,COUPE,1,1st Street E
1194,76.7600,NorthBound0Entrance,COUPE,0,1st Avenue N
1195,77.0800,NorthBound0Entrance,VAN,2,1st Street E
2219,482.4400,NorthBound0Entrance,SEDAN,2,1st Avenue N
1197,77.5600,NorthBound0Entrance,VAN,1,1st Street E
2221,482.6800,NorthBound0Entrance,COUPE,0,1st Street E
1200,79.0800,NorthBound0Entrance,COUPE,0,1st Avenue N
1203,80.8400,NorthBound0Entrance,SEDAN,2,1st Street W
2230,487.4400,NorthBound0Entrance,SUV,1,1st Street W
2231,487.7200,NorthBound0Entrance,VAN,0,1st Street W
1210,84.7200,NorthBound0Entrance,VAN,1,1st Street E
2234,489.5000,NorthBound0Entrance,COUPE,0,1st Avenue N
2236,489.6600,NorthBound0Entrance,SUV,2,1st Street W
1214,86.0800,NorthBound0Entrance,SUV,0,1st Street E
1218,89.2800,NorthBound0Entrance,VAN,0,1st Street W
1221,90.2000,NorthBound0Entrance,SUV,1,1st Avenue N
2245,494.6400,NorthBound0Entrance,SUV,1,1st Avenue N
2246,494.9400,NorthBound0Entrance,COUPE,0,1st Avenue N
1223,90.6000,NorthBound0Entrance,SUV,2,1st Street E
2248,495.6200,NorthBound0Entrance,SUV,2,1st Street W
1225,90.8400,NorthBound0Entrance,COUPE,0,1st Street E
1227,91.8800,NorthBound0Entrance,COUPE,1,1st Avenue N
1229,92.1200,NorthBound0Entrance,SUV,2,1st Street E
2256,498.6600,NorthBound0Entrance,VAN,2,1st Avenue N
1237,94.9200,NorthBound0Entrance,COUPE,1,1st Street E
2261,501.6600,NorthBound0Entrance,SUV,2,1st Street W
1238,95.2800,NorthBound0Entrance,SUV,0,1st Street E
1240,96.8200,NorthBound0Entrance,VAN,2,1st Street W
1241,96.9000,NorthBound0Entrance,SEDAN,0,1st Street E
1244,97.2600,NorthBound0Entrance,SUV,1,1st Avenue N
1246,98.7400,NorthBound0Entrance,SUV,2,1st Avenue N
2271,505.1800,NorthBound0Entrance,VAN,2,1st Street E
1249,100.7200,NorthBound0Entrance,VAN,0,1st Street E
1252,101.5800,NorthBound0Entrance,SUV,2,1st Street E
2278,507.2600,NorthBound0Entrance,COUPE,1,1st Avenue N
2279,507.7400,NorthBound0Entrance,SEDAN,0,1st Street W
2280,507.8800,NorthBound0Entrance,COUPE,2,1st Street W
