VIN,Time,DCLname,vType,startLaneId,destRoad
2048,396.3800,NorthBound0Entrance,SUV,1,1st Avenue N
1025,10.2000,NorthBound0Entrance,SUV,0,1st Street E
1028,10.9800,NorthBound0Entrance,SUV,2,1st Street E
2055,398.2200,NorthBound0Entrance,COUPE,0,1st Avenue N
1034,12.6600,NorthBound0Entrance,COUPE,2,1st Avenue N
2060,400.6400,NorthBound0Entrance,COUPE,0,1st Street E
1037,13.7600,NorthBound0Entrance,VAN,0,1st Street W
1041,15.1200,NorthBound0Entrance,SEDAN,0,1st Street W
2065,402.0000,NorthBound0Entrance,SUV,1,1st Street W
1042,15.1200,NorthBound0Entrance,SUV,2,1st Street W
2067,402.4800,NorthBound0Entrance,COUPE,2,1st Street E
2071,404.0800,NorthBound0Entrance,SUV,1,1st Street E
1048,16.5200,NorthBound0Entrance,VAN,1,1st Avenue N
2073,405.8600,NorthBound0Entrance,VAN,1,1st Street W
2078,407.6400,NorthBound0Entrance,VAN,2,1st Street E
2081,408.4600,NorthBound0Entrance,COUPE,0,1st Avenue N
1060,24.8600,NorthBound0Entrance,SEDAN,1,1st Street W
2089,412.8400,NorthBound0Entrance,SEDAN,0,1st Street W
2090,412.9400,NorthBound0Entrance,SEDAN,2,1st Street E
1067,26.6600,NorthBound0Entrance,SUV,2,1st Street W
1068,26.9600,NorthBound0Entrance,SEDAN,1,1st Street E
2097,415.6600,NorthBound0Entrance,SUV,0,1st Street W
2098,415.6800,NorthBound0Entrance,SUV,1,1st Street E
1076,29.9000,NorthBound0Entrance,VAN,0,1st Street W
2100,415.9200,NorthBound0Entrance,SUV,2,1st Street E
1081,31.5200,NorthBound0Entrance,SEDAN,0,1st Street W
2107,420.1600,NorthBound0Entrance,COUPE,2,1st Street E
1094,36.4200,NorthBound0Entrance,SEDAN,2,1st Street E
2120,423.9400,NorthBound0Entrance,SUV,0,1st Street W
1101,39.1000,NorthBound0Entrance,SUV,1,1st Avenue N
1102,39.4200,NorthBound0Entrance,COUPE,0,1st Avenue N
2128,428.5400,NorthBound0Entrance,COUPE,0,1st Street W
2129,429.1800,NorthBound0Entrance,SEDAN,2,1st Street E
2131,430.3600,NorthBound0Entrance,COUPE,0,1st Avenue N
2133,430.7000,NorthBound0Entrance,SUV,2,1st Street E
1110,41.6400,NorthBound0Entrance,SEDAN,1,1st Street E
1112,42.6600,NorthBound0Entrance,COUPE,2,1st Street E
2138,431.9800,NorthBound0Entrance,VAN,1,1st Street W
2144,435.4000,NorthBound0Entrance,SEDAN,1,1st Street E
1121,46.0400,NorthBound0Entrance,VAN,2,1st Street E
