VIN,Time,DCLname,vType,startLaneId,destRoad
2051,334.9200,NorthBound0Entrance,SUV,0,1st Street E
2052,335.8400,NorthBound0Entrance,VAN,2,1st Avenue N
1030,11.3800,NorthBound0Entrance,SEDAN,2,1st Avenue N
2055,337.4200,NorthBound0Entrance,SEDAN,0,1st Avenue N
2056,337.6200,NorthBound0Entrance,VAN,2,1st Avenue N
1034,12.5000,NorthBound0Entrance,SUV,1,1st Street W
2058,338.1200,NorthBound0Entrance,COUPE,1,1st Street E
1039,13.3600,NorthBound0Entrance,VAN,2,1st Street E
2063,340.1800,NorthBound0Entrance,COUPE,1,1st Street E
1042,14.7800,NorthBound0Entrance,VAN,0,1st Avenue N
1043,14.8000,NorthBound0Entrance,COUPE,1,1st Avenue N
1044,15.2400,NorthBound0Entrance,SEDAN,2,1st Street E
2070,342.7400,NorthBound0Entrance,SEDAN,0,1st Street E
2071,342.8800,NorthBound0Entrance,SUV,1,1st Street W
2072,344.0400,NorthBound0Entrance,SEDAN,2,1st Street W
1049,17.5600,NorthBound0Entrance,VAN,2,1st Street E
1050,17.6400,NorthBound0Entrance,SEDAN,0,1st Avenue N
1052,17.9400,NorthBound0Entrance,SUV,1,1st Street W
2078,346.7600,NorthBound0Entrance,SUV,1,1st Street E
2080,347.4400,NorthBound0Entrance,VAN,2,1st Avenue N
2081,347.7400,NorthBound0Entrance,COUPE,0,1st Avenue N
1058,19.7600,NorthBound0Entrance,SEDAN,1,1st Street W
1061,21.1800,NorthBound0Entrance,SUV,0,1st Street W
1062,21.3000,NorthBound0Entrance,SUV,1,1st Street W
2087,349.3000,NorthBound0Entrance,SEDAN,2,1st Street W
1067,22.9800,NorthBound0Entrance,SEDAN,1,1st Avenue N
2092,350.7400,NorthBound0Entrance,SEDAN,0,1st Street E
1069,23.4600,NorthBound0Entrance,SEDAN,0,1st Avenue N
1070,23.5600,NorthBound0Entrance,VAN,2,1st Avenue N
2095,351.7400,NorthBound0Entrance,COUPE,2,1st Avenue N
1075,24.6200,NorthBound0Entrance,SEDAN,1,1st Street E
2100,353.4600,NorthBound0Entrance,VAN,2,1st Avenue N
2102,353.5000,NorthBound0Entrance,SUV,1,1st Avenue N
